trade_date,pb1220,pb1098,pb976,pb854,pb732,pb610,pb488,pb366,pb244,pb122,pb1,min1,min2,min3,max1,max2,max3,close
20060224,2.6113,2.3982,2.3204,2.3529,2.3977,2.2809,1.9835,1.5027,1.2529,1.1562,1.0488,1.1562,1.2529,1.5027,2.6113,2.3982,2.3977,3.68
20060227,2.6092,2.3947,2.3193,2.3514,2.3964,2.2763,1.977,1.4991,1.2516,1.1534,1.0603,1.1534,1.2516,1.4991,2.6092,2.3964,2.3947,3.58
20060228,2.6071,2.3911,2.3182,2.35,2.3952,2.2716,1.9705,1.4952,1.2499,1.15,1.0315,1.15,1.2499,1.4952,2.6071,2.3952,2.3911,3.55
20060301,2.605,2.3875,2.317,2.3486,2.3938,2.2671,1.9641,1.4916,1.2481,1.1459,1.0229,1.1459,1.2481,1.4916,2.605,2.3938,2.3875,3.58
20060302,2.6029,2.384,2.3159,2.3472,2.3925,2.2626,1.958,1.4879,1.2462,1.1418,1.0315,1.1418,1.2462,1.4879,2.6029,2.3925,2.384,3.51
20060303,2.6006,2.3805,2.3146,2.3458,2.3911,2.2582,1.9518,1.4842,1.244,1.1376,1.0114,1.1376,1.244,1.4842,2.6006,2.3911,2.3805,3.52
20060306,2.5983,2.3769,2.3134,2.3444,2.3897,2.2536,1.9458,1.4805,1.2418,1.1335,1.0142,1.1335,1.2418,1.4805,2.5983,2.3897,2.3769,3.51
20060307,2.5961,2.3734,2.3122,2.343,2.3882,2.2491,1.9401,1.4765,1.2393,1.1289,1.0114,1.1289,1.2393,1.4765,2.5961,2.3882,2.3734,3.46
20060308,2.5937,2.3697,2.311,2.3415,2.3866,2.2447,1.9342,1.4725,1.2368,1.1244,0.9969,1.1244,1.2368,1.4725,2.5937,2.3866,2.3697,3.52
20060309,2.5915,2.3661,2.3097,2.34,2.385,2.2402,1.9282,1.4686,1.2349,1.1201,1.0142,1.1201,1.2349,1.4686,2.5915,2.385,2.3661,3.62
20060310,2.5893,2.3626,2.3086,2.3386,2.3834,2.2359,1.9222,1.4648,1.233,1.1157,1.043,1.1157,1.233,1.4648,2.5893,2.3834,2.3626,3.63
20060313,2.587,2.359,2.3074,2.3372,2.3818,2.2314,1.9165,1.4611,1.2313,1.111,1.0459,1.111,1.2313,1.4611,2.587,2.3818,2.359,3.68
20060314,2.5847,2.3554,2.3063,2.3359,2.3803,2.227,1.9108,1.4571,1.2295,1.1067,1.0603,1.1067,1.2295,1.4571,2.5847,2.3803,2.3554,3.63
20060315,2.5824,2.3519,2.3053,2.3345,2.3787,2.223,1.905,1.4531,1.227,1.1025,1.0459,1.1025,1.227,1.4531,2.5824,2.3787,2.3519,3.64
20060316,2.5801,2.3485,2.3043,2.3332,2.3772,2.2189,1.8995,1.4492,1.2245,1.0986,1.0488,1.0986,1.2245,1.4492,2.5801,2.3772,2.3485,3.6
20060317,2.5776,2.3449,2.3032,2.3318,2.3755,2.2148,1.8939,1.4451,1.2218,1.0941,1.0373,1.0941,1.2218,1.4451,2.5776,2.3755,2.3449,3.69
20060320,2.5752,2.3413,2.3022,2.3304,2.3738,2.2107,1.8885,1.441,1.2195,1.0898,1.0632,1.0898,1.2195,1.441,2.5752,2.3738,2.3413,3.71
